Modo,GFLOPs Avg,GFLOPs Min,GFLOPs Max,Tiempo Avg (s),Tiempo Max (s)
gcc,0.2202,0.1819,0.2549,155.0259,539.1407
gccO1,0.7330,0.5991,0.8501,53.4770,190.4278
gccO2,0.7661,0.6951,0.8896,44.9939,154.4929
gccO3,0.8046,0.6513,0.9960,40.4143,137.9906
