Algoritmo,Mejor Speedup,Mejor GFLOPS,Mejor Efficiency
PTHREAD,"8.12× (N=2048, T=8)","4.32 (N=2048, T=8)","102.5% (N=2048, T=2)"
OPENMP,"8.05× (N=2048, T=8)","4.32 (N=2048, T=8)","102.6% (N=2048, T=2)"
